"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2025-10-20","97.2","-1.67","5.01","Woo, Bryan",676391,693433,"force_out","hit_into_play",,,,,2,"Ernie Clement grounds into a force out, shortstop J.P. Crawford to second baseman Leo Rivas. Alejandro Kirk out at 2nd.","L","R","R","TOR","SEA","X",6,"ground_ball",1,0,2025,"-0.92","1.05",-0.0952850192363709,3.3892504507210806,,,672386,2,6,"Bot",114.29,152.39,,,,,6.293695521769047,-141.2766536301921,-1.1458282896984076,-13.767913949532371,36.766261322842745,-18.163466176859213,"3.32","1.55",12,"94",-15,"96.4",2375,"6.2",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.26",0.139,0.147,"0",1,0,0,2,50,2,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard",227,"-0.038","-0.306","65.0","6.5",0.139,"0.306","94.0",-2,-2,0.223,0.223,25,29,25,29,1,2,3,1,,4,"1.39","0.92","0.92","23.0",16.380429854871863,-2.7729059998104737,18.19002213256323,36.37685586533751,25.848005104716314
"FF","2025-10-20","97.8","-1.48","4.96","Woo, Bryan",676391,693433,,"ball",,,,,14,"Ball","L","R","R","TOR","SEA","B",,,0,0,2025,"-0.88","1.07",0.6007506677042983,1.3120368973380567,,,672386,2,6,"Bot",,,,,,,7.699278166020508,-142.04867524231324,-6.7673101388546515,-13.732234249943103,36.30783408665014,-16.285582636682904,"3.4","1.58",,,,"98",2365,"6.8",813037,663728,647304,660844,553993,641487,668227,677594,645302,"53.72",,,,,,,,50,1,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard",229,"0.003","0.035",,,,"-0.035",,-2,-2,0.22,0.22,25,29,25,29,1,2,3,1,,4,"1.35","0.88","0.88","22.8",,,,,
"FF","2025-10-20","97.2","-1.78","4.92","Woo, Bryan",662139,693433,"field_out","hit_into_play",,,,,7,"Daulton Varsho lines out to right fielder Victor Robles.","L","L","R","TOR","SEA","X",9,"line_drive",1,0,2025,"-0.8","1.36",-0.38428799122997226,1.8791000621728187,,,672386,1,6,"Bot",177.61,78.91,,,,,5.5863686429677175,-141.24604051026023,-5.655223831998582,-12.050463842586614,36.38667723310471,-12.919956500165723,"3.37","1.57",324,"98.3",21,"96.7",2477,"6.4",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.12",0.296,0.365,"0",1,0,0,5,49,2,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard",229,"-0.052","-0.29","78.9","8.4",0.579,"0.29","98.3",-2,-2,0.272,0.272,25,28,25,29,1,2,3,1,,4,"1.09","0.8","-0.8","24.4",15.522131684598572,0.6305904445323925,30.164279405280606,42.01487959193355,28.667090183209563
"FF","2025-10-20","96.3","-1.6","4.94","Woo, Bryan",662139,693433,,"ball",,,,,14,"Ball","L","L","R","TOR","SEA","B",,,0,0,2025,"-0.9","1.15",1.6482949235377116,1.0571779591875439,,,672386,1,6,"Bot",,,,,,,10.665909356635437,-139.59352969569093,-7.2677026457483676,-14.32291042315578,34.23429312523133,-15.58856610443728,"3.37","1.59",,,,"95.8",2347,"6.4",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.07",,,,,,,,49,1,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard",225,"0.006","0.035",,,,"-0.035",,-2,-2,0.266,0.266,25,28,25,29,1,2,3,1,,4,"1.35","0.9","-0.9","22.8",,,,,
"SI","2025-10-20","96.5","-1.61","4.93","Woo, Bryan",672386,693433,"single","hit_into_play",,,,,4,"Alejandro Kirk singles on a line drive to center fielder Julio Rodríguez.","L","R","R","TOR","SEA","X",8,"line_drive",2,1,2025,"-1.29","0.24",-0.7318335248094523,2.253405144593004,,,,1,6,"Bot",129.25,79.29,,,,,5.2561152600029075,-140.45462971209346,-2.0662979310174117,-18.250906871643036,33.659734191036314,-28.77095578174743,"3.1","1.48",262,"81.7",20,"96",2337,"6.1",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.39",0.856,0.826,"0.9",1,1,0,4,48,4,"Sinker",1,3,1,3,3,1,1,3,"Standard","Standard",216,"0.037","0.37","73.8","6.6",1.006,"-0.37","88.0",-2,-2,0.229,0.229,25,26,25,27,1,2,3,1,,4,"2.22","1.29","1.29","22.4",1.8135587615541529,10.554678983461757,23.106115691573525,31.62756810171957,27.937557549350856
"ST","2025-10-20","87.6","-1.63","4.8","Woo, Bryan",672386,693433,,"ball",,,,,14,"Ball","L","R","R","TOR","SEA","B",,,1,1,2025,"0.72","0.27",1.7396671500171692,0.4815241589379613,,,,1,6,"Bot",,,,,,,6.745225781072957,-127.37297905307462,-4.878324412724848,6.322175465755051,27.549594614524338,-28.389278494111522,"3.1","1.53",,,,"88.5",2597,"7",813037,663728,647304,660844,553993,641487,668227,677594,645302,"53.5",,,,,,,,48,3,"Sweeper",1,3,1,3,3,1,1,3,"Standard","Standard",58,"0.005","0.055",,,,"-0.055",,-2,-2,0.224,0.224,25,26,25,27,1,2,3,1,,4,"2.72","-0.72","-0.72","19.2",,,,,
"SI","2025-10-20","96.4","-1.65","4.88","Woo, Bryan",672386,693433,,"foul",,,,,4,"Foul","L","R","R","TOR","SEA","S",,,1,0,2025,"-1.38","0.43",-0.6810182366874296,2.316464856756453,,,,1,6,"Bot",,,,,,,5.699355369571225,-140.2645181213298,-2.1861325887739476,-19.507235249771863,33.55785889736881,-26.233399487702876,"3.1","1.48",207,"77.4",19,"96.1",2399,"6.2",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.27",,,,,,,,48,2,"Sinker",1,3,1,3,3,1,1,3,"Standard","Standard",227,"-0.005","-0.049","62.5","5.7",,"0.049","88.0",-2,-2,0.229,0.229,25,26,25,27,1,2,3,1,,4,"2.04","1.38","1.38","21.1",-14.350860874739658,41.603578337525185,30.84465770159055,31.971658849143168,12.155026678883544
"SI","2025-10-20","96.3","-1.71","4.86","Woo, Bryan",672386,693433,,"ball",,,,,4,"Ball","L","R","R","TOR","SEA","B",,,0,0,2025,"-1.13","0.32",-0.8175560469732479,2.1241585163201475,,,,1,6,"Bot",,,,,,,4.93732310196142,-140.12112544499135,-2.3977205641752812,-16.054191727748893,32.15957876035697,-27.560331744001545,"3.2","1.52",,,,"96.1",2299,"6.2",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.26",,,,,,,,48,1,"Sinker",1,3,1,3,3,1,1,3,"Standard","Standard",228,"0.004","0.039",,,,"-0.039",,-2,-2,0.225,0.225,25,26,25,27,1,2,3,1,,4,"2.14","1.13","1.13","22.1",,,,,
"ST","2025-10-20","87.1","-1.56","4.78","Woo, Bryan",665489,693433,"strikeout","swinging_strike",,,,,14,"Vladimir Guerrero Jr. strikes out swinging.","L","R","R","TOR","SEA","S",2,,2,2,2025,"0.97","0.29",1.4315757622772962,1.2204784058033522,,,,0,6,"Bot",,,,,,,5.2087624964327475,-126.70622747455346,-2.9435587933076794,9.23191795972998,27.46401173112102,-28.622226029094016,"3.64","1.62",,,,"87",2578,"6.4",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.13",,0,"0",1,0,0,,47,9,"Sweeper",1,3,1,3,3,1,1,3,"Standard","Standard",71,"-0.032","-0.232","58.1","8.8",,"0.232",,-2,-2,0.257,0.257,25,26,25,26,1,2,3,1,,4,"2.73","-0.97","-0.97","19.9",19.367358527199183,-24.88052519018523,36.34812492110412,51.54105582008736,48.81104639714735
"SI","2025-10-20","96.9","-1.66","4.94","Woo, Bryan",665489,693433,,"foul",,,,,13,"Foul","L","R","R","TOR","SEA","S",,,2,2,2025,"-1.37","0.43",-1.0786037500258736,2.3211555656169827,,,,0,6,"Bot",,,,,,,4.673321333024475,-140.98467192673075,-2.4302116100126456,-19.38753265223978,33.10221740301755,-26.03943213500121,"3.64","1.62",4,"81.1",-29,"96.6",2319,"6.2",813037,663728,647304,660844,553993,641487,668227,677594,645302,"54.29",,,,,,,,47,8,"Sinker",1,3,1,3,3,1,1,3,"Standard","Standard",229,"0","0","76.2","7.4",,"0","88.0",-2,-2,0.257,0.257,25,26,25,26,1,2,3,1,,4,"2","1.37","1.37","24.2",7.911832305931553,-17.601199394625176,35.778657460440186,22.077653181089644,35.70357672976717
